1,2,3,4,5,6,7,8
5.6913,7.543,6.4964,10.774,5.8413,7.0499,6.0916,11.515
4.3182,7.3888,5.046,12.197,4.1808,8.9273,4.9788,13.616
11.26,15.65,9.1494,12.463,10.927,14.473,10.411,15.394
16.787,14.664,15.401,16.235,15.9,15.819,15.083,16.363
5.3186,6.3948,5.0263,7.1996,5.0302,5.9127,5.3051,6.854
8.8443,8.537,7.648,9.3514,7.3392,9.1738,8.1417,10.363
7.6344,13.415,4.7365,17.544,8.2344,14.381,5.6478,15.956
7.835,8.2493,6.9788,10.025,7.6411,8.2473,7.7066,10.89
9.5854,11.867,7.9913,12.451,10.458,11.528,8.0564,10.358
3.6303,4.9937,2.9292,6.0933,3.3901,5.0807,3.146,5.7608
6.6007,5.8223,5.572,5.7771,6.3942,7.3813,5.5011,5.9405
6.303,7.3162,6.4685,7.3634,6.4603,8.6224,6.6159,8.3647
3.8149,4.9696,3.5562,5.5831,3.9795,5.2863,3.3927,5.4386
5.088,6.7332,4.987,7.4653,5.2262,6.7198,4.4353,8.5145
11.019,17.326,8.4104,19.319,10.653,16.685,8.9477,20.013
8.6262,10.543,7.9749,12.782,7.5652,10.337,7.5778,12.406
